account,classification,trades_count,total_pnl,avg_pnl,win_rate,avg_notional
0x430f09841d65beb3f27765503d0f850b8bce7713,Unknown,1231,416541.872341,338.3768256222583,0.48659626320064986,2409.5092851340373
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,138,1294.684739,9.381773471014492,0.26811594202898553,395.5097826086956
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,605,3027.92391,5.004832909090909,0.30413223140495865,438.33712396694216
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,752,6358.689118,8.455703614361703,0.34441489361702127,557.0954654255319
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,736,2803.279814,3.8088040951086954,0.32065217391304346,604.8524864130435
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,108,1580.539513,14.63462512037037,0.4444444444444444,474.46564814814815
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Unknown,6180,88278.599067,14.284562955825244,0.3635922330097087,513.5445113268609
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,15,0.0,0.0,0.0,33333.22933333334
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,270,0.0,0.0,0.0,7339.048703703704
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,16,444.205198,27.762824875,0.625,37473.885625
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Unknown,4055,677302.845445,167.0290617620222,0.5198520345252774,8999.217136868065
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,59,3084.287743,52.276063440677966,0.4915254237288136,10455.908644067797
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,419,-78345.733765,-186.982658150358,0.2863961813842482,15044.925918854415
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,501,66310.479538,132.35624658283433,0.405189620758483,17762.376447105788
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,675,25833.953122,38.2725231437037,0.22666666666666666,13770.201792592594
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,152,21985.852853,144.64376876973685,0.5394736842105263,15414.379144736842
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Unknown,5778,270107.030225,46.74749571218415,0.37140879196953963,17690.374570785738
