classification,total_trades,total_pnl,avg_pnl,win_rate,avg_trade_size
Extreme Fear,2495,159597.856138,63.96707660841683,0.3771543086172345,6400.9173587174355
Extreme Greed,5835,1083768.076711,185.73574579451585,0.5419023136246787,3186.503350471294
Fear,14116,1634454.665169,115.78738064387927,0.38049022385945025,5206.804920657411
Greed,11258,697578.7911040001,61.96294111778292,0.4589625155445017,4879.338890566708
Neutral,2682,119931.511074,44.71719279418344,0.4571215510812826,5605.8007046979865
Unknown,174838,6601628.04324,37.75854244065935,0.4061016483830746,5794.84033001979
